tag,window,kmer,top_ratio,normalization,score_min,score_max,test_score_std_avg,test_clip_max_rate_avg,test_class_score_spread,baseline_score_error_pearson,germ_bo_score_error_pearson,baseline_score_margin_pearson,germ_bo_score_margin_pearson,test_entropy3_pearson,test_gc_pearson,test_max3_pearson,quality_score
w48_k2_t05_train_quantile_r08_12,48,2,0.5,train_quantile,0.8,1.2,0.11247485196957842,0.0,0.042864572999998685,0.06062211697315661,0.018981224999447533,0.014066863683780339,0.03432709159362274,0.05421472795853794,-0.0156076770053108,0.06434120124765183,0.14386415594105512
w64_k3_t10_train_quantile_r07_13,64,3,1.0,train_quantile,0.7,1.3,0.17036764248304112,0.0,0.05051725800000095,0.04058895694252389,0.008165726643184419,0.03508009544549515,0.07202839729725816,0.3327650428493526,-0.04571008737916175,-0.09743312590960819,0.143485058890594
w48_k3_t10_train_quantile_r07_13,48,3,1.0,train_quantile,0.7,1.3,0.17124538182821494,0.0,0.0599043729999994,0.06217920001426528,0.02567487910998073,0.019883392626318486,0.04604633713435666,0.33130204922461737,-0.06654554250328397,-0.1222397710280836,0.1425326380963716
w32_k3_t10_train_quantile_r07_13,32,3,1.0,train_quantile,0.7,1.3,0.1694216233804622,0.0,0.07258039299999997,0.08337494710529393,0.03701565628390726,0.00605646558631043,0.013676848743542613,0.30689093701167924,-0.08837985759876184,-0.13534086372346435,0.14122478705196068
w48_k2_t10_train_quantile_r08_12,48,2,1.0,train_quantile,0.8,1.2,0.11259162968375595,0.0,0.04301920199999987,0.05981509776592942,0.020793972477899225,0.007608552640962015,0.02709547169873784,0.0591641319216963,-0.01630923555991921,0.06409160984727058,0.14002401195427194
w64_k2_t025_train_quantile_r08_12,64,2,0.25,train_quantile,0.8,1.2,0.11251314520039275,0.0,0.03502946500000126,0.04228302971062449,0.006651405685845282,0.02701457420919251,0.051225786599546186,0.024880716063639566,0.013168016611466205,0.10334892171819966,0.13343032292592819
w32_k2_t025_train_quantile_r08_12,32,2,0.25,train_quantile,0.8,1.2,0.11216180647588843,0.0,0.04954308299999921,0.08760584016213212,0.037601465156388195,0.007475003395062049,0.01530508648647044,0.12276454299126582,-0.05879050663115842,-0.0018924979220525469,0.13292613405237325
w64_k2_t05_train_quantile_r08_12,64,2,0.5,train_quantile,0.8,1.2,0.11248616191101916,0.0,0.038116710000000276,0.04464233040117679,0.007294483894854492,0.024737793319939562,0.04801021166413943,0.02524996861846942,0.010918274086384402,0.1041870197140003,0.1327656780151772
w32_k2_t05_train_quantile_r08_12,32,2,0.5,train_quantile,0.8,1.2,0.11217848320373786,0.0,0.05102574199999865,0.08564519506794745,0.03602400489388414,0.007760751919021937,0.015178402019208715,0.1262717991062212,-0.06265571293990813,-0.0020067277007548632,0.13102233197076063
w64_k2_t10_train_quantile_r08_12,64,2,1.0,train_quantile,0.8,1.2,0.11230872562262324,0.0,0.03904053899999993,0.046120457843700835,0.009293894633851723,0.01684217922959965,0.0381504456366132,0.029392949604979297,0.008757837346298423,0.09664474601701087,0.13028299085852754
w32_k2_t10_train_quantile_r08_12,32,2,1.0,train_quantile,0.8,1.2,0.11186109877554512,0.0,0.0525396980000008,0.08388723783188355,0.0332836098766699,0.005179149078829778,0.012665549987110579,0.13441765121553848,-0.06140685975280336,-0.009998876825393466,0.12653307988115756
w64_k3_t025_train_quantile_r08_12,64,3,0.25,train_quantile,0.8,1.2,0.11364071549224515,0.0,0.02871762200000072,0.03370843689332188,0.0034630655000926136,0.04973185688018312,0.0871295216117555,0.28164089570443823,-0.03824573930991549,-0.06158178179509992,0.10364947081867427
w64_k3_t05_train_quantile_r08_12,64,3,0.5,train_quantile,0.8,1.2,0.11377879731757505,0.0,0.032217073999999624,0.03753813578565007,0.0037232268266761187,0.04647334047972655,0.0840877002985912,0.30194367482036893,-0.04287522458436593,-0.07247617525855189,0.09910579665460344
w32_k3_t025_train_quantile_r08_12,32,3,0.25,train_quantile,0.8,1.2,0.11374780804031086,0.0,0.04838278199999946,0.08236618265465784,0.03235013118976197,0.008492716604047485,0.018407634269446593,0.2653186749219037,-0.0723087679514168,-0.10826093116961852,0.09780504777188713
w48_k3_t025_train_quantile_r08_12,48,3,0.25,train_quantile,0.8,1.2,0.11414524784004448,0.0,0.03735226300000094,0.05337070085795171,0.014487159631401555,0.02493511018515187,0.05100002980136463,0.2759565709722671,-0.0561731092702242,-0.08868495092969622,0.09734147042663588
w48_k3_t05_train_quantile_r08_12,48,3,0.5,train_quantile,0.8,1.2,0.11454619441556557,0.0,0.039743250999998536,0.058415559437583524,0.018309928412771976,0.024437511864580146,0.050543665876809175,0.29559309061079847,-0.0621734373781511,-0.09974387750146847,0.09512753442006232
w32_k3_t05_train_quantile_r08_12,32,3,0.5,train_quantile,0.8,1.2,0.11306533385774059,0.0,0.04830729199999928,0.08298400767007673,0.032985405814214955,0.009809002815677145,0.019513601147979634,0.2824245246900112,-0.08111114699745821,-0.11588103063844617,0.09370800709426597
w32_k2_t025_train_minmax_r07_13,32,2,0.25,train_minmax,0.7,1.3,0.059879765431799355,0.0,0.027634753999999817,0.08794360412991649,0.038256902692137426,0.010026080038749198,0.019393145655033056,0.09815494750572337,-0.058400427248972105,0.031256355212600485,0.08900940344784328
w64_k3_t10_train_quantile_r08_12,64,3,1.0,train_quantile,0.8,1.2,0.11357842638992159,0.0,0.033678184000001665,0.040588982418751474,0.008165747660484895,0.03508009448794218,0.07202837919854348,0.33276492984499906,-0.045710104971770193,-0.09743304005321658,0.0866958747373193
w32_k2_t05_train_minmax_r07_13,32,2,0.5,train_minmax,0.7,1.3,0.05743974804003496,0.0,0.0279114309999986,0.08927395921372827,0.038373378835527897,0.010077879709622256,0.018701695589062164,0.10183632888947475,-0.06200344150292754,0.03125483391223506,0.08596849321906148
w48_k2_t025_train_minmax_r07_13,48,2,0.25,train_minmax,0.7,1.3,0.05373106788356627,0.0,0.017479684000000106,0.0525776565423563,0.01659753240533888,0.039285998412959926,0.06063066543725695,0.03785916735705843,-0.02428842218691821,0.09831607865103409,0.08575620921061437
w48_k3_t10_train_quantile_r08_12,48,3,1.0,train_quantile,0.8,1.2,0.11416358054738007,0.0,0.03993628499999957,0.062179248808847364,0.02567492180709391,0.019883351391249433,0.04604634308694819,0.33130210957984246,-0.0665454177944877,-0.1222398288358995,0.08545084910031721
w32_k3_t10_train_quantile_r08_12,32,3,1.0,train_quantile,0.8,1.2,0.11294773942461885,0.0,0.04838694099999885,0.08337500927175441,0.037015687158355175,0.006056447958644312,0.013676848934426203,0.30689095390157267,-0.08837982403799984,-0.13534087120044583,0.084750930052316
w48_k2_t05_train_minmax_r07_13,48,2,0.5,train_minmax,0.7,1.3,0.05281690331698332,0.0,0.018466575999998236,0.05607473935436301,0.01835458735020149,0.03447537823694797,0.0560651218989089,0.039392340691331455,-0.02416692833139232,0.09834698448159757,0.08430008782321989
w32_k2_t10_train_minmax_r07_13,32,2,1.0,train_minmax,0.7,1.3,0.05910755043361351,0.0,0.029480628000001063,0.08780002845825256,0.03607290234897503,0.00925837551768438,0.018817899473571775,0.11645805365670259,-0.06051867003543787,0.018162488037854942,0.08330200098535002
w48_k2_t10_train_minmax_r07_13,48,2,1.0,train_minmax,0.7,1.3,0.0497210295699084,0.0,0.018130565999998738,0.057267130519630526,0.020281297645200282,0.022500351496413513,0.04390971581056034,0.04734289288120636,-0.01938259497941641,0.09369939778389921,0.07688460328902902
w64_k2_t05_train_minmax_r07_13,64,2,0.5,train_minmax,0.7,1.3,0.049948604644669596,0.0,0.014508006000001683,0.040859023820695645,0.006728448495890861,0.04173449886112629,0.06602054336911024,0.01120902866761025,0.0061840850704864185,0.13648926721272722,0.06926607143639071
