task,variant,label,seed,test_accuracy,test_f1,test_precision,test_recall,val_accuracy
border_hard,metadata_real,metadata real comp=0.27/p4,53,0.8671875,0.860655737704918,0.9051724137931034,0.8203125,0.90234375
border_hard,metadata_real,metadata real comp=0.27/p4,54,0.90625,0.90625,0.90625,0.90625,0.9140625
border_hard,metadata_shuffled,metadata shuffled comp=0.27/p4,47,0.83984375,0.846441947565543,0.8129496402877698,0.8828125,0.8828125
border_hard,metadata_shuffled,metadata shuffled comp=0.27/p4,48,0.8828125,0.88,0.9016393442622951,0.859375,0.890625
border_hard,metadata_shuffled,metadata shuffled comp=0.27/p4,49,0.82421875,0.8339483394833949,0.7902097902097902,0.8828125,0.83203125
border_hard,metadata_shuffled,metadata shuffled comp=0.27/p4,50,0.83984375,0.8416988416988418,0.8320610687022901,0.8515625,0.859375
border_hard,metadata_shuffled,metadata shuffled comp=0.27/p4,51,0.87890625,0.8793774319066148,0.875968992248062,0.8828125,0.890625
border_hard,metadata_shuffled,metadata shuffled comp=0.27/p4,52,0.890625,0.890625,0.890625,0.890625,0.921875
border_hard,metadata_shuffled,metadata shuffled comp=0.27/p4,53,0.87890625,0.8774703557312253,0.888,0.8671875,0.921875
border_hard,metadata_shuffled,metadata shuffled comp=0.27/p4,54,0.8203125,0.8188976377952756,0.8253968253968254,0.8125,0.87890625
border_hard,activation,activation-derived comp=0.27/p4,47,0.83203125,0.8447653429602889,0.785234899328859,0.9140625,0.875
border_hard,activation,activation-derived comp=0.27/p4,48,0.74609375,0.7450980392156863,0.7480314960629921,0.7421875,0.77734375
border_hard,activation,activation-derived comp=0.27/p4,49,0.87109375,0.8745247148288974,0.8518518518518519,0.8984375,0.9140625
border_hard,activation,activation-derived comp=0.27/p4,50,0.80859375,0.8078431372549021,0.8110236220472441,0.8046875,0.87890625
border_hard,activation,activation-derived comp=0.27/p4,51,0.8203125,0.8257575757575757,0.8014705882352942,0.8515625,0.89453125
border_hard,activation,activation-derived comp=0.27/p4,52,0.87890625,0.8864468864468863,0.8344827586206897,0.9453125,0.9140625
border_hard,activation,activation-derived comp=0.27/p4,53,0.8828125,0.883720930232558,0.8769230769230769,0.890625,0.9296875
border_hard,activation,activation-derived comp=0.27/p4,54,0.83203125,0.8326848249027237,0.8294573643410853,0.8359375,0.875
border_hard,no_comp,no compensation comp=0.00/p4,47,0.87109375,0.8745247148288974,0.8518518518518519,0.8984375,0.90234375
border_hard,no_comp,no compensation comp=0.00/p4,48,0.8671875,0.8650793650793651,0.8790322580645161,0.8515625,0.8984375
border_hard,no_comp,no compensation comp=0.00/p4,49,0.8515625,0.8527131782945736,0.8461538461538461,0.859375,0.8984375
border_hard,no_comp,no compensation comp=0.00/p4,50,0.84765625,0.8494208494208494,0.8396946564885496,0.859375,0.875
